Song,Album,Release_Date,Lyrics
Interlude (That’s Love),Acid Rap,4/30/2013,"Yeah yeah yeah yeahYeah yeah yeah yeah, yeah yeah yeah, yeah, yeahYeahYeah yeah yeah yeah, yeah, yeahYeah yeah yeah yeah, yeah yeah yeah, yeah, yeahWhat's better than tripping is falling in loveWhat's better than Letterman, Leno, Fallon, and all the aboveWhat's better than popping bottles trying to ball in the clubIs the first caveman pops with his son, ball and a clubWhat's better than paper is ballin' it upWhat's better than followers is actually fallin' in loveWhat's better than frolicking, follies, fallin' in mudRolling in green pastures, wanderin', followin' loveWhat's better than eating is feeding your famWhat's better than meetings is missing meetings to meet with your famWhat's better than leaning and needing a XanIs hitting your zan dreaming a dream could mean leaving the landWhat's better than yelling is hollerin' loveWhat's better than rhymes, nickels, dimes and dollars and dubsIs dialing up your darling just for callin' her upIt ain't nothing better than fallin' in loveIGH!I've seen it come back, back, back and forthYou hit the nail right on top of the headI know you've seen it all beforeBut when it looks you in the eyes, it ain't nothin' you could say but ""that's love""That's loveThat's loveThat's loveSay that's love, ooh oohThat's lo-o-oveThat's loveThat's love, that's love, that's loveI LOVE you! (Love you)I LOVE you! (Lo-o-ove!)I LOVE you! (Love you)I LOVE you! (Lo-o-ove!)I LOVE you! (Love you)I LOVE you! (Lo-o-ove!)I LOVE you! (Love you)I LOVE you! (Lo-o-ove!)I LOVE you!That's loveThat's loooo-o-o-ove, that's loveSay that's love, ooh, ooh, that's loveThat's love, that's love, that's love, that's love"
Favorite Song (feat. Childish Gambino),Acid Rap,4/30/2013,"Chance, acid rapper, soccer, hacky sackerCocky khaki jacket jackerSlap-happy faggot slapperIraqi rocket launcherShake that Laffy Taffy, jolly raunchy rapperDang, dang, dang - skeet, skeet, skeetShe do that thing for three retweetsThe album feel like '92Now take that ball 'fore he three-peatChance, ho, acid, cruising on that LSDAsked Joseph about my dealHe looked back said ""hell yeah, let's eat!""This shit my favorite song, you just don't know the wordsBut I still fuck with you, you just ain't never heardIt go like: count that stack, pop that cap then down that JackAll my niggas hit that zan, and all my ladies bob that backThis my jam, this my jam, this my jam, this my jamI'm 'bout that jam, I'm 'bout that jam, I'm 'bout that jam, I'm 'bout that jamThis my jam, this my jam, this my jam, this my jamI'm 'bout that jam, I'm 'bout that jam, I'm 'bout that jam, I'm bout that jamYoung Rascal Flatts - young ass kid ass could rapFuck all the faculty, tobacco-packing acrobatBack-to-back packin' bags back and forth with fifths of Jack andFourths of weed, I'm back to pack on handsWith young Cletus to pat my backReal nigga with a nose ring, that's rightJust here to rap them songsRag on my hair, wrap weed in Vegas, rockin' VagabondsSang a song, oh you don't know? What?Well, I still bang with youHang with you, sip drank with youAs long as I can sang with you like:This shit my favorite song, you just don't know the wordsBut I still fuck with you, you just ain't never heardIt go like: count that stack, pop that cap then down that JackAll my niggas hit that zan, and all my ladies bob that backThis my jam, this my jam, this my jam, this my jamI'm 'bout that jam, I'm 'bout that jam, I'm 'bout that jam, I'm 'bout that jamThis my jam, this my jam, this my jam, this my jamI'm 'bout that jam, I'm 'bout that jam, I'm 'bout that jam, I'm bout that jamNiggas please be focused - that Bino, you know thisHe rep the home of Sosas, you know I'm from that Zone 6You know I rep that Stone shit, you know your hood is so clitAs God as my witness, this Will Smith spit real shitI'mma be that - CG busy gettin', where the weed at?Bought your girl some new kneepadsYou're fuckin' with the Fifi bagMy stars, egad, she said: ""this my favorite song""""Hold my purse"" - now she on the floor, droppin' like it's hotYou blast this shit in Abercrombie when your work is finishedYour mom won't play it in the car 'cause it's got cursing in itYour boy like: ""I'm the one who showed you,"" he want his percentage'Cause you were like: ""this ain't the nigga you said spittin', is it?""Two-step - white dude's Harlem ShakeWhy you laughing?'Cause you Harlem ShakeI was never fake, I was just too good to be trueThat's acid rap, we killed the trackYou had your chance, and 'Bino tooThis shit my favorite song, you just don't know the wordsBut I still fuck with you, you just ain't never heardIt go like: count that stack, pop that cap then down that JackAll my niggas hit that zan, and all my ladies bob that backThis my jam, this my jam, this my jam, this my jamI'm 'bout that jam, I'm 'bout that jam, I'm 'bout that jam, I'm 'bout that jamThis my jam, this my jam, this my jam, this my jamI'm 'bout that jam, I'm 'bout that jam, I'm 'bout that jam, I'm bout that jam"
NaNa (feat. Action Bronson),Acid Rap,4/30/2013,"Na na na, na na naNa na na, na na naNa na na, na na na(IGH!)Introducin' Chance the Ruthless, trip 'shrooms and lucyDreams is lucid, loosely based on music, swallow my mucusHope your pussy get herpes and yo' ass get lupusDeuces Douches, deuce deuce I'll shoot ya (BANG!)Shoes might boot cha and a suit might suit chaThey be on bullshit but they really don't do shitThey use of allusion could confuse ConfuciusNasty, ashy, cigarette ashing, 'til my voice get raspyLast week suspended, last night kissed Va$htieParleyed with Ashley, always in the hallwaySo I never been classy (Ha ha ha)Shut up!Na na na, na na naNa na na, na na naNa na na, na na na(IGH, IGH, IGH, IGH!)Acid, Acid, get it? Acid, melts through plastic, I spit firedPad my palette, talkin' paper if this was work, I'd get higherPardon my mishaps, burp and get murderedFart and get bitch-slapped, like bourbon mixed with JackLickety-split, look it! He slipped on a shellFrom peelin' banana splits back, give me my Kit-KatDon't break me off shit, batch, fack is you mean bitch?Zan with that lean bitch, zan with that lean bitchZen with that chakra I eat it like Idi AminYa kna wha' mean, hit me back when that mean shitNa na na, na na naNa na na, na na naNa na na, na na na(IGH, IGH, IGH, IGH!)Introducin', it’s BronsonlinoWith my hair slicked back, I look like Rick PitinoThree Japanese dykes in my El CaminoLettin' trees blow, ohI rep the East CoastI got a team of hoes like Pat SummittI look like Arnold Schwarzenegger in a black hummer(Get to the chopper!)I splash summer like a fast brother, with a number on his backAin’t no fumblin', in fact, I'm back, acid in my hatShoot, then pass the gatIt's at the bottom of the river in a plastic bagMy new shorty got a gymnastic back'87 emerald green on a classic jagShe had the cleft palate, I ordered chef’s saladShe had the club foot, with that little armI couldn’t help but laugh, she ordered Chicken ParmI had the full Bulls warm-up with the Pippens onSuck my motherfucking dickIt's the young Randy VelardeQueens, babyBlow me"
Smoke Again (feat. Ab-Soul),Acid Rap,4/30/2013,"Mmm, IGH!Acid Rap!I don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doWho smokin' in my car? it's that nigga ChanoAKA Mr. Bennett, AK Tony MontanoI've got some folks in low end, I got some folks in C-noteAK hundred dinero, you ever seen Casino?I just got back with 'Bino, I got a bitch but she knowHer friends done did the Dino, that's that Chicago lingoFlamin' hots with cheese, and a Kiwi MisticMy dick won't even call her, cause she left all that lipstickNiggas be on dirt, that's why I stay on pettyI know that bangers jam, that's why my hands stay readyFlip the candy yum, that's the fucking bombestLean all on the square, that's a fuckin' rhombusI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doWho's sneaking in the club? that's that youngster rapperUn-saran wrap the purple, wrap that blunt under afterSmoke all out the window, cops could eat a dickIf you ain't the hitter, you just might be the lickFlame on, flame on, I'm your bitch's ringtoneShe like when I rap raps, but better when I sing songsNo Drake, but I get my Trey on, killin' in the hood like TrayvonShoppin' like I got a coupon, savin' like I got a cape onCookin' crack in my apron, dressed like a nigga had 8 promsTell shorty I may change and I made it and I napalmTrippy shit to watch drugs while on the clockAcid on the face that's a work of artI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doSoulo hoe hoe twerk somethin'Throw it back like you tryna hurt somethin'I'm so def, I ain't ever heard nothin'My name Herb, take herb, smoke herb (say word?)How 'bout you? No dap, but I'll take a pound or twoNo doubt like Gwen Stefani's groupLook, let me put my mouth where you potty, boo (IGH!)Them niggas pissed, need potty trainingThey movement shit, that's a potty trainShe ain't left yet, but she probably cameWe kicked it then I score, soccer gameShe was a phony goalie, I got great aim though, don't insult meI'll give it to ya straight, this is what she told meMy name Solo cause I'm the one and onlyShe only got you as a nigga on the sideThat's a nigga on the side of a side bitch, homieThen we got out a Dodge, like them Dukes of HazzardMusic and tabs of Lucy, take your chance with this rapperI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to doI don't even talk to them on the phone againLeave in the AM, on the road againSo bitch, let's fuck so I can smoke againI gotta smoke again, I got shit to do"
Acid Rain,Acid Rap,4/30/2013,"Kicked off my shoes, tripped acid in the rainWore my jacket as a cape, and my umbrella as a caneThe richest man rocks the snatch-less necklaceSpineless bitches in backless dressesWore my feelings on my sleevelessMy weed seedless, my trees leaflessI miss my diagonal grilled cheesesAnd back when Mike Jackson was still JesusBefore I believed in not believing inYeah, I inhaled, who believed in me not breathing inCigarette stained smile all covered in sinMy big homie died young; just turned older than himI seen it happen, I seen it happen, I see it alwaysHe still be screaming, I see his demons in empty hallwaysI trip to make the fall shorterFall quarter was just a tall orderAnd I'm hungry, I'm just not that thirstyAs of late, all my verses seem not so verse-yAnd all my words just mean controversyTook the team up off my back, like ""That's not your jersey?""Stressin', pullin' my hair out, hoping I don't get pickedAll this medicine in me hoping I don't get sickMaking all of this money hoping I don't get richCause niggas still getting bodied for foamsSometimes the truth don't rhymeSometime the lies get millions of viewsFunerals for little girls, is that appealing to you?From your cubicle desktop, what a beautiful viewI think love is beautiful tooBuilding forts from broken dams, what a hoover could doFor future hoopers dead from RugersShooting through the empty alleyCould've threw him an alley-oopHelping him do good in schoolDamn that acid burn when it clean yaI still miss being a seniorAnd performing at all those open mic eventsEyes closed, eyes closed seeing arenasAnd I still get jealous of VicAnd Vic's still jealous of meBut if you touch my brotherAll that anti-violence shit goes out the window along with youAnd the rest of your teamSmoking cigarettes to look coolerI only stop by to look through yaAnd I'm only getting greedierAnd I'm still Mr. YoumediaAnd I still can't find TalentAnd I'm still choosing classmates that wouldn't fuckMom still thinks I should go back to schoolAnd Justin still thinks I'm good enoughAnd Mama Jan still don't take her medsAnd I still be asking God to show his faceI am a new man, I am sanctifiedOh, I am holy, I have been baptizedI have been born again, I am the White LightRain, rain don't go away"
Chain Smoker,Acid Rap,4/30/2013,"This is my last shh- my last shitUhh, it definitely be mad importantEy man, that sound like a Prince songStill a chain smokingName droppingGood lookingMuh' fuckingMotha, shut your mouthBrain brokenFrank Ocean listeningStain hitting, satin woodgrain grippingPaint drippingMotha, shut your mouthSomebody pray for the god, oh lordI wonder what Michael's onSon jammin' to his shitRappin' trappin' trippin' 'cidAnd sniffing glue and chewing VicodinShoulda died- yelling YOLO was a lieAnd you a liar wonder why you wanna die so youngYou and I look just alikeAnd I'm afraid that this one right hereMight be last time that I write a songLot of niggas wanna go out with a bangBut I ain't tryna go out at allSo I ain’t tryna go out at allGot a lot of ideas still to throw out the doorLast chance joint gotta be a dance jointFrom an introspective drugged out standpointThrow bands joint, wanna hold hands jointOld school for my own old man jointStill a chain smokingName droppingGood lookingMuh' fuckingMotha, shut your mouthBrain brokenFrank Ocean listeningStain hitting, satin woodgrain grippingPaint drippingMotha, shut your mouthThis part right here, right nowRight here, this part my shitI play this so loud in the carI forget to park my whipI lean back, then spark my shitI turn up, I talk my shitHope you love all of my shitI hope you love all of my shit (IGH)Why toss my filter when she saved my life?The same shit that kills us, always feels so rightThat's why I pray to the dear lordGod know who he beTruth be told he juiced meIntroduced me to the lucy leafOh oh oh, I seen the light, I lost my lighterBic flick, kick the habit and the bucket, fuck your supplierLies, Levis on fireFlyer on the wall I'm brighterIn the darkness of the nightIn the sky I get higher, higherStill a chain smokingName droppingGood lookingMuh' fuckingMotha, shut your mouthBrain brokenFrank Ocean listeningStain hitting, satin woodgrain grippingPaint drippingMotha, shut your mouthThis part right here, right nowRight here, this part my shitI play this so loud in the carI forget to park my whipI lean back, then spark my shitI turn up, I talk my shitHope you love all of my shitI hope you love all of my shit (IGH)Still a chain smokingName droppingGood lookingMuh' fuckingMotha, shut your mouthBrain brokenFrank Ocean listeningStain hitting, satin woodgrain grippingPaint drippingMotha, shut your mouth"
Everything’s Good (Good Ass Outro),Acid Rap,4/30/2013,"Member sittin' in class the first time listening to DillaEverything's goodRubbin' on yo chin, sippin gin, Margiela brand chinchillaEverything's goodMy manager backpack packed with packs of cigarillosAnd some fruit snacks, And some killer'sPhone numbers on speed dial call them save monkey guerillasEverything's goodI ain't really that good at goodbyesI ain't really that bad at leavingI ain't really always been a good guy, I used to be thirsty thievin'Runnin through purses even persons leave em hurtin' bleedinI ain't really help the helplessI used to be worse than worthlessNow I'm worth hooks and versesI'm good like books in churchesHarolds and Hooks and ChurchesEverything's GoodSee my name when you google search itUse a card when I make a purchaseEverything's GoodBut I knew it was fly when I was just a caterpillarThat I'd make it even if I never make a milla,When I meet my maker he gon' make sure that we chillin'And everything's goodI ain't really that good at goodnight, I ain't really that bad at sleepinWith bad bitches, put them aside, I used to be thirsty creepingNow I'm out working evenings birthdays even Tuesdays Wednesdays Thursdays weekends, rehearsing verses, murdering merch and eventsDamn it feel good to be a gangstaAnd it feel good for me to thank youPut money back in your bank accountOff of songs I barely could think up,Cause a lot of songs niggas gon' make upMake sense, but they never gon' make a soundI'm better than I was the last time, crescendoThanks Justin, lending them pencilsMr. Menzies, Mensa, Chris MintoThe time I beat Chris on NintendoNanana hey hey, good intro,Remember jacket shoppin' after listening to ThrillerRemember the first time you heard this through and thought, ""damn that's that nigga.""Everything's good"
Miracle,Surf,5/28/2015,"If it’s a miracle, to be alive and wellIf we fell, we feel we’d be okayOkay, okay, okay...Sit with the beatThe chair isn't fair with you sitting right thereWith your hair in a knotNot a care in the world or a pot for the pissWhich we share cause a pair costs a lotNot a pear in the world that the world wouldn't miss much as thisAnd if it isn’t the same then it’s apples and lemonadeCan’t stand for a Minute Maid man with an iPodIf I got locked up would you see me at the end of my sentence?White dot, buy pot with what I gotWhich I got from, fuck, still ain’t did shit with the beatThe stair isn’t there when your feet needed therapyAnd their approval, a shoulder to lean onFrom when it gets shivering cold with the heat onIn a trance with the beat goneRealising that you should never speak on things donePeople keep it a secret and keep goin’Ain’t no reason to keep on thinkin’There’s something deeper there’s China up under my gardenTryna break bread stop beggin’ my pardonMy lead is astray, let’s get an apartmentWith a dog and a song that I wrote you this morningUh!If it’s a miracle, to be alive and wellIt's a miracle (It's a miracle, it's a miracle)If it's a miracle, to be alive and wellSnow is melting, water's pouringSignal's turning, it's a miracleHomies breathing, families eatingMama singing, is a miracleSnow is melting, water's pouringSignal's turning, it's a miracleIf it's a miracleMama singing, it's a miracleSnow is melting, the water's pouringThe signal's turning, it's a miracleThe homies breathing, the families eatingMama singing, it's a miracleSnow is melting, water's pouringSignal's turning, it's a miracleThe homies breathing, the families eatingMama singing, it's a miracle"
"Slip Slide (ft. B.o.B., BJ the Chicago Kid, Busta Rhymes, Janelle Monáe & The O'My’s)",Surf,5/28/2015,"Heyyo Mr. Chance The Rapper, I greatly appreciate the way you roll out the red carpet, allowing me to articulate myself, and now I stand on my own two beloved. Yeah!I don't wanna slip, slip, slip, slide!I'mma stand up on my own twoStand up on my own twoI don't wanna slip, slip, slip, slide!I'mma stand up on my own twoStand up on my own twoI’m a man understanding the plan and I'm onTo be greater than'ything make you a fan in this songHow I stand out and wonderin’ what planet I’m goneThe one and only God of kings come fromA hundred grand on, a child I always ran from the wrongStanding on his own two but wanna stand with the strongPlease get to turning on the fan cause it’s warmWhile I build just a little 'bout the man I was born to beThis whole planet belongs to meWe all feel the same so it belongs to weWe talkin’ all night but this is my birth rightPlease can you get to bringin’ the crown to me?Yea I know you all for itYou’ll only be deemed worthy if you stand tall for itWhen you and your men were sitting, yeah, I know you all saw it!This great ship we got goin’ onDon’t slipI don't wanna slip, slip, slip, slide!I'mma stand up on my own twoStand up on my own twoI don't wanna slip, slip, slip, slide!I'mma stand up on my own twoStand up on my own twoI don't wanna slip, slip, slip, slide!I'mma stand up on my own twoStand up on my own twoI don't wanna slip, slip, slip, slide!I'mma stand up on my own twoStand up on my own twoI was born on my own two feet watching Bruce Lee‘Fore I grew teeth I had a pen and some loose leafPots and pans when the roof leak‘Fore I ever smoked mids ‘fore I ever blew treesUsed to drive a hoopdie that broke down on me usuallyNas was lookin’ at me, pockets was lookin’ through meNever planned on college I dropped out as a studentMy GPA started with a decimal like DewyThat’s lower than low, that’s lower than mostBut if you thought I wouldn’t make it, you slower than slowI make the type of music that stoners should knowIf I plant one of my thoughts marijuana would growAnd I be high enough to go where I wanted to go (Reefer)Might be covered in glitter but all of it’s goldA nigga got that loud and it's all for the lowAnd everybody sayin’ “aww, let’s go”I don't wanna slip, slip, slip, slide!I'mma stand up on my own twoStand up on my own twoI don't wanna slip, slip, slip, slide!I'mma stand up on my own twoStand up on my own twoIt ain’t so easyIt’s not too hardIt ain’t so easyBut it’s not so hardTo stand upStand upBut it’s just too easyTo sit back down"
Warm Enough (ft. J. Cole & NoName Gypsy),Surf,5/28/2015,"Like the sun, like the sunWho are you to tell me I can't love youThe way mothers love daughters?The way Mary was closest to JosephAnd babies is close to The FatherYou don't know me and love got a secret hand shakeAnd mad inside jokesI could tell it’s knock knock when my heart beatboxUse your inside voxWho are you to tell me I don’t want youThe way flesh wants freedomThe way greed love need, the way kings need kingdomsYou don’t know what I know, what I’m capable ofWhat I slaved for and traded in favoursAnd gave up for you what I gave up for love"
Nothing Came to Me,Surf,5/28/2015,N/A
"Wanna Be Cool (ft. Big Sean, Jeremih & KYLE)",Surf,5/28/2015,"I don't wanna be you, I just wanna be meI don't wanna be cool, I just wanna be meYou don't wanna be cool, you just wanna be meI don't wanna be cool, I don't wanna be cool, I don't wanna be coolI don't wanna be cool, I don't like being coolI ain't trying to be cool, what's it like being cool?I just can't stay cool, I don't wanna be coolI don't want you to be me, you should just be youYou just wanna be me!You just wanna be me!Hold up, it's cool with just meI'm cool being meI don't wanna be coolI ain't trying to be coolI just can't stay coolWhats it like being cool?I don't wanna be coolI don't wanna be coolI don't want you to be meYou just should be youI don't wanna be coolI ain't tryin' to be coolI just can't stay coolWhat's it like being cool?I don't wanna be coolI don't wanna be coolI don't want you to be meYou should just be youI don't wanna be coolI ain't trying to be coolI just can't stay coolWhat's it like being cool?You just wanna be meYou just wanna be me"
Windows (ft. Raury & BJ the Chicago Kid),Surf,5/28/2015,"Keep ya head away from windowsKeep your arms inside the rideTrust me with ya body, trust me with ya lifeBanging on the windows, baby come insideCertainly in trouble, maybe you should hideI'mma tell you likeDon't you look up to me, don't trust a word I sayDon't you end up like me, if you learn one thing today (naw naw naw naw)Don't you look up to me, don't trust a word I say (no, no)Don't you end up like me, if you learn one thing todayHooo (nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye, nye)HoooHooo {Careful} (nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye, nye){Careful}Hooo {Careful}Ah-hooo (oh na, oh na, oh nanana)Hooo (oh na, oh na, oh nanana {oh nanana})Hooo (oh na {oh na}, oh na {oh na}, oh nanana)Hooo (oh na {oh na}, oh na {oh na}, oh nanana {oh nanana})Don't you look up to me, don't trust a word I sayDon't you end up like me, (oh na) if you learn one thing today (oh nanana)Don't you look up to me, (oh na) don't trust a word I say (oh nanana)Don't you end up like me, (oh na) if you learn one thing today (oh nanana)No no no no no no no no no no no no no no no, no noHoooo, CarefulCarefulDon't trust a word I sayCarefulCarefulDon't trust a word I sayCarefulIf you learn one thing today (oh woah woah)(hey, yeahhhh)Careful (hey, yeahhhh){Careful} Careful (hey, yeahhhh)Be careful (hey, yeahhhh)Careful, careful, careful(Don't you look up to me, don't trust a word I say)Careful(Don't you end up like me, if you learn one thing today)Careful(Don't you end up like me, don't trust a word I say)Careful(If you learn one thing today)Careful(Don't you end up like me, don't trust a word I say)CarefulIf you learn one thing todayCareful (Careful)You can never be too (careful), don't trust a word I say(Be...) Don't trust a- don't trust a word I say (....careful)Don'tDon't go trusting a word I sayDon't you, don't you, don't you, don't youDon't be so carefulDon't trust a word I say"
Caretaker (ft. D.R.A.M),Surf,5/28/2015,N/A
Just Wait,Surf,5/28/2015,"Spend the night, spend the moneySend off flight, for the tummyBit of a pickle, she tuck her tommyRugrat, bare skin, fair skinSince pan afro-mericanActor in airAir's thin, new floorE'erything, e'erythingWho knows, is e'erything still e'erything?What a delicate heart, what a hard headWhat a delicate heart, what a hard headGood things come to those that waitGood things come to those that waitWhat a delicate heart, what a hard headWhat a delicate heart, what a hard headGood things come to those that waitGood things come to those that waitGood things come, good things comeGood things come, good things comeThen they go, then they goThen they go, then they go"
Familiar (ft. King Louie & Quavo),Surf,5/28/2015,"Cardboard cutout, sharp teeth, smart mouthSmile big, small waist, big hips, cut pasteForgive me but you look familiarProm queen, mean chick, teen mom, bad bitchReal bad advice, can't fool me twice(Forgive me but you look familiar)(You a regular)She the latest model but these hoes retrosOne in a million but these bitches special?It's two shoes in a pair, two peas in a podThree P's in appropriate, groupies in a mobUsually I like them to look just like youBut you just so usual you just look usedI just need something out of the normForeign just don't seem foreign no moreJust give me the porn, it's like four in the morn'Trying to raise the bar with porn in the torrentGot a lot of wifeys, more than a MormonCNC’s, I ain’t even in performin'But we met in a life where we were both catsOur owners were neighbors, how funny is thatWhat's funnier is yours had eight different catsSame shade of black and I'm blind as a batCardboard cutout, sharp teeth, smart mouthSmile big, small waist, big hips, cut pasteForgive me but you look familiar(You a regular)Cardboard cutout, sharp teeth, smart mouthSmile big, small waist, big hips, cut pasteProm queen, mean chick, teen mom, bad bitchReal bad advice, can't fool me twice(Forgive me but you look familiar)Forgive me but you look familiarForgive me but you look familiar"
Smthnthtlwnt (ft. Saba),Surf,5/28/2015,N/A
"Go (ft. Jesse Boykins III, Mike Golden & Joey Purp)",Surf,5/28/2015,N/A
Questions (ft. Jamilia Woods),Surf,5/28/2015,N/A
Something Came to Me,Surf,5/28/2015,N/A
Rememory (ft. Erykah Badu),Surf,5/28/2015,"Uh, uh, uhTake a break when I break my legSave the day when I take her handOhhTake a break when I break my legSave the day when I take her handAnd she break my heartAnd she take an arm and leg and a car and the kidsAnd the court's taking course on meAnd of course I'm remorsefulBut more so for the kids forced to use morse codePoor souls ain't got no voicesTake a disco nap when disco's deadAnd the word goes live and I fix those headsAnd the disc goes flop but the track don't skipAnd the words don't jumble and the milk don't curdleAnd the cookie don't crumbleAnd the one eyed man screams""Marco, this no joke, this code red"", too lateThe blind townspeople finally found peopleKingdom came, freedom rangSee what I'm sayin? Took his nameWho got that hook up on that Peter Pan? The book is brokeHe shook his hand"
Sunday Candy (ft. Jamilia Woods),Surf,5/28/2015,"She can say in her voice, in her way that she love meWith her eyes, with her smile, with her belt, with her hands, with her moneyI am the thesis of her prayersHer nieces and her nephews are just pieces of the layersOnly ones she love as much as me is Jesus Christ and TaylorI got a feature so I'm singing for my grandmaYou singing too, but your grandma ain't my grandmaMine's is handmade, pan-fried, sun-driedSouthside, and beat the devil by a landslidePraying with her hands tight, president of my fan club, SantaSomething told me I should bring my butt to churchYou gotta move it slowlyTake and eat my body like it's holyI've been waiting for you for the whole weekI've been praying for you, you're my Sunday candyYou gotta move slowlyTake and eat my body like it's holyI've been waiting for you for this whole weekI've been praying for you, you're my Sunday candyCome on in this house, cause it's gonna rainRain down Zion, it's gonna rainYou better come on in this house, cause it's gonna rainRain down Zion, it's gonna rainI come to church for the candy, your peppermints is the truthI'm pessimistic on Monday if I had tweaked and missed youYou look so good with that hat on, had to match with the shoesCame and dressed in the satin, I came and sat in your pewI come to Christmas for dinner, fifty rolls on my plateHella holes in my stocking holding your pockets in placeI like my love with a budget, I like my hugs with a scentYou smell like light, gas, water, electricity, rentYou sound like why the gospel choir got so tiredSingin' his praises daily basis so I gotta try itYou're my dreamcatcher, dream team, team captainMatter fact, I ain't seen you in a minute let me take my butt to churchYou better come on in this house, cause it's gonna rainRain down Zion, it's gonna rainYou better come on in this house, cause it's gonna rainRain down Zion, it's gonna rainYou gotta move it slowlyTake and eat my body like it's holyI've been waiting for you for the whole weekI've been praying for you, you're my Sunday candyYou gotta move slowlyTake and eat my body like it's holyI've been waiting for you for this whole weekI've been praying for you, you're my Sunday candySlowlyTake and eat my body like it's holyI've been waiting for you for the whole weekI've been praying for you, you're my Sunday candyCome on in this house, cause it's gonna rainRain down Zion, it's gonna rainYou better come on in this house, cause it's gonna rainRain down Zion, it's gonna rain"
Pass the Vibes (ft. Eric Butler),Surf,5/28/2015,N/A
Last Dance BASED FREESTYLE ,Free (BASED FREESTYLE MIXTAPE),8/5/2015,"What's up? You thought it was a jokeTil I come in - hocus pocus, with the dopestShit-halitosis, I spit the grossestNow I gotta spit ashy then gross assistGrocery shoppin' for my mama and daughterI'm feelin' like I shouldn't have involved herBut now I'm movin' too quicklyBelieve it or not, I'm Mr. Ripley, talented tooComin' through like the afterwards schoolAfterwards what they have at schoolNothin' leftover so I came back to the landWith my homie Lil B and half of my bandsWe did it different than the XansNo sleep, stayin' up real late with my mansAnd out in Chicago droppin' shit off the topThey thought after Surf this shit would just stopWhat's their problem? What's, what's their problem?I'm comin' through, I had to dissolve 'emLike acid to basesThey want me to go back to Acid, the basicShit that's just tastelessNow I'm flippin' it up like the Taste didThis year in Chicago when they started chargin' for ticketsAyy shout out to the hood, they ain't gon' keep chargin' for ticketsIf they don't let us in then we're chargin' the bridgesThey tried to charge like Tar with the bridgesI went to school with my sistersAnd speakin' of my sistersI got Fatimah Noname Gypsy comin' through on the feelingsWhat's up!?"
What's Next BASED FREESTYLE ,Free (BASED FREESTYLE MIXTAPE),8/5/2015,"Ah, so I think by now you may be confused as to what we're doingWe're making an entire piece of content from scratchWhich is where the best things in life come, the best things in life come from nothingAnd become something different, so, you knowThis is an allegory to life, and life is an allegory to this shit, I guessChano, Chano, Chano, Chano, Chano, what's next?Chano, Chano, Chano, Chano, Chano, what's next?Brandon, Brandon, Brandon, Brandon, Brandon what's next?Brandon, Brandon, Brandon, Brandon, Brandon what's next?I tell them light, it's gonna shine on youTell 'em more, watch that shit shine on youWoke up this morning, didn't know what's nextThen I read a text, asking me what's nextSent back a text, said ""mind your own""When you find your home, go to sleep and dream your ownDream, don't follow what it seems to meEverything you see ain't what it seems to beAnd I gotta hella dreams, hella dreams to speakSo I guess that that shit's meta, or just betaAnd we spell it B-E-T-A, that means it's on trialThat means for a while, it won't be finishedBut when that shit's finished, ah, just look at that finishAh, I'm still off that tone, but I still take care of businessHad to freak it up, had to mix it up, had to geek it upEvery week you know, you look online, hella leaks is upAin't no album coming out, ain't no shit coming, no, no soonWhen I'm in the room and I'm lit and gone and I make the tunesGo ahead B"
